% 1. Title: Pittsburgh bridges
% 
% 2. Sources:
%    -- Yoram Reich & Steven J. Fenves
%       Department of Civil Engineering
%       and
%       Engineering Design Research Center
%       Carnegie Mellon University
%       Pittsburgh, PA 15213
% 
%       Compiled from various sources.
% 
%    -- Donor: Yoram Reich (yoram.reich@cs.cmu.edu)
%    -- Date: 1 August 1990
% 
% 3. Past Usage:
% 
%    -- Reich & Fenves (1989). Incremental Learning for Capturing Design 
%       Expertise. Technical Report: EDRC 12-34-89, Engineering Design
%       Research Center, Carnegie Mellon University, Pittsburgh, PA.
%       -- Qualitative results and runs with original ordering of examples.
%          using COBWEB.
% 
%    -- Reich (1989). Converging to ``Ideal'' Design Knowledge by Learning,
%       Proceedings of the First International Workshop on Formal Methods in
%       Engineering Design, pp: 330-349, Colorado Springs, CO, January 1990.
%       -- Describes a new design method with Bridger (variant of COBWEB) using
% 	 this domain. (Also an EDRC report: 12-35-89)
% 
%    -- Reich (1989) Combining Nominal and Continuous Properties in an 
%       Incremental Learning System for Design. Technical Report: EDRC 12-33-89.
%       -- Comparison of performance of Bridger when running on both versions
% 	 (V1 and V2) of the database
% 
%    -- Reich (1989) Incremental Concept Formation with Mixed Property Types
%       Unpublished Manuscript.
%       -- Results using 10 random 10-fold cross-validation test with Bridger
% 	 (relative error rate):
% 	 Version V1 of the database: 
% 	 MATERIAL 18.4%, REL-L 38.7%, SPAN 42.7%, T-OR-D 14.7%, TYPE 47.6%.
% 	 Version V2 of the database:
% 	 MATERIAL 24.2%, REL-L 41.7%, SPAN 39.9%, T-OR-D 14.7%, TYPE 56.5%.
% 
%    -- Quinlan (1989) Personal communication. 
%       -- Results of a 10-fold cross-validation test with C4.5, and with
%          a separate decision tree for each design property obtained the 
% 	 following error rates on version V1 of the database:
% 	 MATERIAL 15%, REL-L 32%, SPAN 32%, T-OR-D 15%, TYPE 44%.
% 
% 4. Number of instances: 108
% 
% 5. Relevant Information:
%    
%    There are two versions to the database: 
%       V1 contains the original examples and 
%       V2 contains descriptions after discretizing numeric properties.
% 
%    There are no ``classes'' in the domain. Rather this is a DESIGN domain where
%    5 properties (design description) need to be predicted based on 7 
%    specification properties.
% 
% 6. Number of Attributes: 13: 7 specifications, 5 design description, and 1
%    identifier (not used for the classification)
% 
% 7. Attribute Information:  
% 
%    The type field state whether a property is continuous/integer (c) 
% 						      or nominal (n).
%    For properties with c,n type, the range of continuous numbers is given 
%    first and the possible values of the nominal follow the semi-colon.
% 
% 
%        name     type    possible values		comments
%    ------------------------------------------------------------------------
%    1.  IDENTIF	-	-			identifier of the examples
%    2.  RIVER	n	A, M, O
%    3.  LOCATION	n       1 to 52
%    4.  ERECTED	c,n	1818-1986 ; CRAFTS, EMERGING, MATURE, MODERN
%    5.  PURPOSE	n	WALK, AQUEDUCT, RR, HIGHWAY
%    6.  LENGTH	c,n	804-4558 ; SHORT, MEDIUM, LONG
%    7.  LANES	c,n	1, 2, 4, 6 ; 1, 2, 4, 6
%    8.  CLEAR-G	n	N, G
%    9.  T-OR-D	n	THROUGH, DECK
%    10. MATERIAL	n	WOOD, IRON, STEEL
%    11. SPAN	n	SHORT, MEDUIM, LONG
%    12. REL-L	n	S, S-F, F
%    13. TYPE	n	WOOD, SUSPEN, SIMPLE-T, ARCH, CANTILEV, CONT-T
% 
% 
% 8. More complicated attributes:
% 
%    One can use a hierarchical structure for the Type property. There are two
%    options.
% 
% 	option 1 (use examples without modification)
%         --------
% 
% 			Type 
% 	     /      /	     \     \
% 	   /       /	      \	     \
% 	wood	suspen		arch	truss
% 				       /  |    \
% 				     /    |      \
% 				cantilev  cont-t   simple
% 
% 
% 	option 2 (requires changes in the Type property - specified bellow)
% 	--------
% 
% 				Type 
% 
% 		 /     	/        |	    	    \	
% 	   	/     /	         |   		     \
% 	    wood   suspen	arch		      truss
% 				/ \	    	   /  |  \    \
% 			      /	    \	  	 /    |   \	\
% 			tied-a    not-tied  cantilev cont-t simple arch-t
% 
% 
% 	Change the Type  property of the following examples (in both V1 and V2):
% 		E28   ->  arch-t
% 		E91,E90,E84,E83,E73  -> tied-a
% 		E97,E78,E77,E75,E66,E64,E43  -> not-tied
% 
% 
% 9. Missing Attribute Values:
%    Attribute #: 	# instances with missing values:
%     2			 1
%     6			27
%     7			16
%     8			 2
%     9			 6
%    10			 2
%    11			16
%    12			 5
%    13			 3
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: no
%

@relation bridges-version1

@attribute IDENTIF {E1,E10,E100,E101,E102,E103,E105,E107,E107N,E108,E109,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E8,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E9,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99}
@attribute RIVER {A,M,O,Y}
@attribute LOCATION {1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,38.5,39,39.5,39.7,4,40,41,42,43,44,45,46,47,48,49,5,51,52,6,7,8,9}
@attribute ERECTED numeric
@attribute PURPOSE {WALK,AQUEDUCT,RR,HIGHWAY}
@attribute LENGTH numeric
@attribute LANES numeric
@attribute CLEAR-G {N,G}
@attribute T-OR-D {THROUGH,DECK}
@attribute MATERIAL {WOOD,IRON,STEEL}
@attribute SPAN {SHORT,MEDIUM,LONG}
@attribute REL-L {S,S-F,F}
@attribute TYPE {WOOD,SUSPEN,SIMPLE-T,ARCH,CANTILEV,CONT-T}

@data
E57,O,49,1910,RR,1620,2,G,THROUGH,STEEL,LONG,F,CANTILEV
E59,O,43,1911,HIGHWAY,1652,2,G,THROUGH,STEEL,LONG,F,CANTILEV
E92,M,10,1914,RR,2210,?,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E61,O,41,1915,RR,2822,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E60,A,24,1915,HIGHWAY,1000,4,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E62,A,37,1918,RR,2300,2,N,DECK,STEEL,LONG,F,CONT-T
E63,A,31,1920,RR,2122,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E65,A,30,1921,WALK,?,?,G,THROUGH,STEEL,?,F,SUSPEN
E64,A,29,1923,HIGHWAY,885,4,G,THROUGH,STEEL,MEDIUM,F,ARCH
E66,A,32,1924,HIGHWAY,2365,4,G,THROUGH,STEEL,MEDIUM,S,ARCH
E70,A,27,1926,HIGHWAY,860,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E69,A,26,1926,HIGHWAY,884,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E101,O,46,1927,HIGHWAY,1770,2,G,THROUGH,STEEL,LONG,S-F,CANTILEV
E73,A,38,1927,HIGHWAY,1508,?,G,THROUGH,STEEL,MEDIUM,S,ARCH
E72,M,5,1927,HIGHWAY,2663,4,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
E67,M,1,1927,HIGHWAY,1330,4,G,THROUGH,STEEL,LONG,F,CANTILEV
E75,A,30,1928,HIGHWAY,2678,4,G,DECK,STEEL,MEDIUM,F,ARCH
E74,M,20,1928,HIGHWAY,2220,2,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
E71,A,25,1928,HIGHWAY,860,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E68,M,17,1928,HIGHWAY,2250,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E78,O,40,1931,HIGHWAY,1365,4,G,THROUGH,STEEL,LONG,F,ARCH
E77,O,42,1931,HIGHWAY,1450,4,N,THROUGH,STEEL,LONG,F,ARCH
E76,M,6,1931,HIGHWAY,1500,4,G,THROUGH,STEEL,LONG,F,SUSPEN
E93,M,11,1937,HIGHWAY,1690,4,N,DECK,STEEL,LONG,S-F,CONT-T
E79,A,34,1939,HIGHWAY,1800,4,G,DECK,STEEL,MEDIUM,F,CANTILEV
E108,A,39.5,1945,HIGHWAY,1060,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
E107N,A,39.7,1945,RR,840,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E105,A,38.5,1945,HIGHWAY,1710,2,N,DECK,STEEL,MEDIUM,S-F,CONT-T
E103,O,48,1945,HIGHWAY,2160,2,G,THROUGH,STEEL,LONG,F,CANTILEV
E97,Y,52,1945,HIGHWAY,?,?,G,THROUGH,STEEL,MEDIUM,S,ARCH
E96,Y,51,1945,RR,?,?,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E99,M,23,1950,HIGHWAY,1320,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E98,M,22,1951,HIGHWAY,900,4,G,THROUGH,STEEL,MEDIUM,F,CONT-T
E81,M,14,1951,HIGHWAY,2423,4,G,DECK,STEEL,LONG,F,CONT-T
E80,M,19,1951,HIGHWAY,1031,4,G,THROUGH,STEEL,LONG,F,CANTILEV
E88,A,37,1955,HIGHWAY,2300,4,N,DECK,STEEL,LONG,F,CONT-T
E82,O,42,1955,HIGHWAY,804,?,G,THROUGH,STEEL,?,F,SIMPLE-T
E102,O,47,1959,HIGHWAY,1700,2,G,THROUGH,STEEL,LONG,F,CONT-T
E83,M,1,1959,HIGHWAY,1000,6,G,THROUGH,STEEL,LONG,F,ARCH
E86,A,33,1961,HIGHWAY,980,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
E85,M,9,1962,HIGHWAY,2213,4,G,DECK,STEEL,LONG,F,CONT-T
E84,A,24,1969,HIGHWAY,870,6,G,THROUGH,STEEL,MEDIUM,F,ARCH
E91,O,44,1975,HIGHWAY,3756,6,G,THROUGH,STEEL,LONG,F,ARCH
E90,M,7,1978,HIGHWAY,950,6,G,THROUGH,STEEL,LONG,F,ARCH
E100,O,43,1982,HIGHWAY,?,?,G,?,?,?,F,?
E109,A,28,1986,HIGHWAY,?,?,G,?,?,?,F,?
